;BBAS3;BBDC3;BBDC4;BOVA11;BRAP4;BRFS3;BRKM5;BRML3;BTOW3;CCRO3;CESP6;CIEL3;CMIG4;CPFE3;CPLE6;CSAN3;CSMG3;CSNA3;CYRE3;ELET6;EMBR3;FIBR3;GGBR4;GOAU4;HGTX3;HYPE3;ITUB4;LAME4;LIGT3;LREN3;MULT3;NATU3;PETR3;PETR4;PSSA3;RENT3;SANB11;SBSP3;TRPL4;VALE3;VALE5
19/01/10;0.000158583;0.000568190;0.000206676;0.000077373;0.000226724;0.000285221;0.000349309;0.000380708;0.000139132;0.000570207;0.000679199;0.000244794;0.000236015;0.000686039;0.000350897;0.000440906;0.000639682;0.000345198;0.000188607;0.001051032;0.000394618;0.000345745;0.000205164;0.000361785;0.001018152;0.001471476;0.000168908;0.000372760;0.000114446;0.000455565;0.000751208;0.000242773;0.000154145;0.000120939;0.001141177;0.000852197;0.000365006;0.000437009;0.000172546;0.000158326;0.000134049
20/01/10;0.001279014;0.000713482;0.000653161;0.000157565;0.000362052;0.000388678;0.000262335;0.001360579;0.000534916;0.000431250;0.000601770;0.000630532;0.000218804;0.000619114;0.000503546;0.000650452;0.000603187;0.000590998;0.000647820;0.001283974;0.000707263;0.000789804;0.000429850;0.000404056;0.005080217;0.001461524;0.000475992;0.000493490;0.000171036;0.000373965;0.000798044;0.000534284;0.000259840;0.000171416;0.000887347;0.000868052;0.000350302;0.000317284;0.000889087;0.000204865;0.000125390
21/01/10;0.000695390;0.000824392;0.000841267;0.000374613;0.000710820;0.000799252;0.000809792;0.001210720;0.001366916;0.000993385;0.000648781;0.000590718;0.000376567;0.000494614;0.000865930;0.000951126;0.000747456;0.000584929;0.000934328;0.000972336;0.000711329;0.000759956;0.000823840;0.001508217;0.005498137;0.002250270;0.000832873;0.001196194;0.000228627;0.001155378;0.000616250;0.000951214;0.000649240;0.000559591;0.001236016;0.001623126;0.000640548;0.000653469;0.000272319;0.000417296;0.000371800
22/01/10;0.000914140;0.001429400;0.000585241;0.000287998;0.000652991;0.000448487;0.002261391;0.001309533;0.000654240;0.000737294;0.001485653;0.000820226;0.000358269;0.000540819;0.000852140;0.002056494;0.000782850;0.000893519;0.001602294;0.004357799;0.000311799;0.001063506;0.000703875;0.001169249;0.000121381;0.001449519;0.000888150;0.000400301;0.000322605;0.001283805;0.000577105;0.001166565;0.000475951;0.000324106;0.001829031;0.000910214;0.000854577;0.000405943;0.000381605;0.000330420;0.000308204
26/01/10;0.000343806;0.000676056;0.000297317;0.000314916;0.000592274;0.000204973;0.000481098;0.000837699;0.000825414;0.001282119;0.001208926;0.000873493;0.000892442;0.000643084;0.000813981;0.001166718;0.000322805;0.000723211;0.001233635;0.001390537;0.000370389;0.000577393;0.000661632;0.000902018;0.001592008;0.002957551;0.000345530;0.000632272;0.000294268;0.000972297;0.000508968;0.000807507;0.000383641;0.000334839;0.000943229;0.001059095;0.000552409;0.000336750;0.000069995;0.000301715;0.000340577
27/01/10;0.000312503;0.000394118;0.000346500;0.000267042;0.000682129;0.000741369;0.000933290;0.000872207;0.000350675;0.001319912;0.001026225;0.000429613;0.000634340;0.000535269;0.000730188;0.000768000;0.000239527;0.000540482;0.000473723;0.001004709;0.000364532;0.000742738;0.000645554;0.000632638;0.003370523;0.001395365;0.000394831;0.001393932;0.000139532;0.000676940;0.000145215;0.000449095;0.000371076;0.000345561;0.001005616;0.001373696;0.000866097;0.000616140;0.000568663;0.000370804;0.000301846
28/01/10;0.000608013;0.000266263;0.000415107;0.000348774;0.000887709;0.000377245;0.000542091;0.000778755;0.000598164;0.001292799;0.001087919;0.000286439;0.000709096;0.000391402;0.000698699;0.000637132;0.000992319;0.000735426;0.000796580;0.000382826;0.000490631;0.000585910;0.000645028;0.000858102;0.002956036;0.000709045;0.000350033;0.000840216;0.000688656;0.000711269;0.000130271;0.000498150;0.000467772;0.000363901;0.000289693;0.002726332;0.000630119;0.000534521;0.000285552;0.000660598;0.000462292
29/01/10;0.000365497;0.000281137;0.000385191;0.000205520;0.000491184;0.000370745;0.000238597;0.001177014;0.000402146;0.000530598;0.002408325;0.000447087;0.000613482;0.000363245;0.001506824;0.000673839;0.001047341;0.000387475;0.000527251;0.000984794;0.000318940;0.000653727;0.000389067;0.000585570;0.003235653;0.000640081;0.000354877;0.003294383;0.000689094;0.000864504;0.000161257;0.000663932;0.000424514;0.000284605;0.001290649;0.001201441;0.000555474;0.000602108;0.000617964;0.000327943;0.000276618
01/02/10;0.000634705;0.000242612;0.000243679;0.000130514;0.000462528;0.000313307;0.000549944;0.000561309;0.000245684;0.000848638;0.001346879;0.000316380;0.000542718;0.000581621;0.000502826;0.001362652;0.000393238;0.000332638;0.000408682;0.001278886;0.000514660;0.000630383;0.000317183;0.000575718;0.004090993;0.001504084;0.000261275;0.000632716;0.000486588;0.000667620;0.000062451;0.000556974;0.000280200;0.000173465;0.001331905;0.002406497;0.000766635;0.000945649;0.000482077;0.000285012;0.000254195
02/02/10;0.000384112;0.000285444;0.000248229;0.000120316;0.000319887;0.000350468;0.000289556;0.000734860;0.000303087;0.000412177;0.001597413;0.000439127;0.000255328;0.000437652;0.000320729;0.000760868;0.000107191;0.000294116;0.000425311;0.000331018;0.000200874;0.000750552;0.000384375;0.000482974;0.003448795;0.001664866;0.000276043;0.000349040;0.000510639;0.000452831;0.000119627;0.000354255;0.000240293;0.000139844;0.000277074;0.000799550;0.000250007;0.000602431;0.000578328;0.000252290;0.000140270
