;BBAS3;BBDC3;BBDC4;BOVA11;BRAP4;BRFS3;BRKM5;BRML3;BTOW3;CCRO3;CESP6;CIEL3;CMIG4;CPFE3;CPLE6;CSAN3;CSMG3;CSNA3;CYRE3;ELET6;EMBR3;FIBR3;GGBR4;GOAU4;HGTX3;HYPE3;ITUB4;LAME4;LIGT3;LREN3;MULT3;NATU3;PETR3;PETR4;PSSA3;RENT3;SANB11;SBSP3;TRPL4;VALE3;VALE5
19/01/10;0.000185050;0.000619472;0.000260604;0.000071318;0.000270207;0.000265568;0.000444864;0.000656964;0.000162146;0.000592286;0.000696814;0.000291010;0.000256789;0.000562680;0.000424726;0.000378456;0.000527276;0.000319369;0.000254582;0.000761761;0.000334942;0.000328595;0.000220231;0.000300782;0.001238910;0.001613696;0.000196485;0.000438217;0.000146264;0.000545663;0.000585018;0.000342001;0.000165430;0.000127076;0.001201245;0.000988890;0.000313872;0.000409997;0.000203775;0.000209312;0.000128592
20/01/10;0.000773408;0.000767873;0.000650558;0.000143438;0.000385881;0.000327821;0.000335415;0.001528843;0.000526016;0.000604204;0.000666355;0.000539453;0.000310823;0.000578345;0.000471226;0.000637885;0.000757668;0.000545092;0.000761337;0.001330971;0.000704818;0.000644186;0.000444596;0.000419174;0.004123218;0.001712344;0.000546761;0.000557374;0.000191747;0.000438091;0.000649169;0.000452973;0.000263320;0.000164358;0.000970731;0.000851205;0.000300348;0.000369835;0.000655360;0.000241497;0.000169700
21/01/10;0.000775419;0.000715105;0.000832747;0.000359672;0.000593100;0.000805086;0.000781594;0.001460512;0.001313232;0.000973409;0.000685287;0.000575846;0.000351678;0.000593050;0.000844078;0.000769802;0.000775233;0.000593372;0.000869434;0.001011781;0.000836177;0.000851431;0.000822501;0.001278361;0.005141830;0.001828687;0.000768652;0.001486714;0.000248848;0.001564344;0.000577074;0.000982492;0.000684684;0.000558130;0.001555599;0.003616649;0.000590559;0.000535248;0.000313833;0.000407020;0.000333276
22/01/10;0.000825036;0.001395164;0.000673662;0.000310923;0.000629857;0.000496000;0.003286973;0.001344557;0.000693776;0.000817837;0.001498554;0.000839517;0.000440601;0.000566942;0.001014742;0.002227086;0.000730221;0.000751477;0.001266139;0.004924326;0.000372935;0.001124292;0.000856465;0.001170405;0.000186528;0.001596632;0.000913532;0.000544898;0.000421240;0.001572885;0.000692143;0.001237694;0.000429821;0.000340261;0.001933537;0.001005071;0.001188121;0.000439259;0.000465376;0.000372471;0.000343155
26/01/10;0.000405234;0.000689506;0.000321041;0.000261496;0.000549063;0.000247177;0.000515078;0.000778369;0.001080687;0.001124338;0.001203111;0.001012916;0.000827393;0.000788814;0.001019762;0.001365030;0.000332473;0.000668950;0.000946698;0.001603636;0.000450951;0.000549132;0.000731413;0.001003631;0.001568818;0.004022174;0.000399511;0.000656063;0.000271055;0.001043655;0.000499725;0.000805039;0.000378712;0.000315549;0.001166792;0.001503349;0.000517645;0.000357374;0.000085264;0.000354579;0.000352129
27/01/10;0.000270991;0.000400331;0.000377947;0.000245954;0.000609605;0.000603898;0.000909836;0.000698546;0.000395329;0.001183797;0.000825990;0.000404558;0.000690134;0.000526491;0.000792129;0.000577109;0.000261271;0.000646882;0.000501127;0.000814636;0.000433478;0.000651807;0.000596706;0.000682505;0.003511389;0.001652149;0.000404787;0.001354194;0.000158790;0.001338653;0.000222955;0.000502836;0.000377500;0.000329816;0.001572013;0.001464189;0.000808509;0.000547251;0.000502972;0.000358122;0.000306702
28/01/10;0.000546242;0.000316358;0.000382917;0.000270538;0.000842987;0.000576237;0.000562096;0.000916628;0.000519108;0.000917840;0.001313790;0.000249474;0.000580972;0.000370781;0.000772342;0.000657527;0.000924552;0.000549589;0.000612082;0.000329586;0.000446554;0.000481694;0.000564544;0.000807614;0.002448164;0.000652272;0.000351261;0.000741337;0.000711982;0.000716896;0.000135962;0.000470851;0.000498967;0.000297985;0.000324079;0.002599670;0.000714120;0.000585860;0.000287402;0.000516313;0.000399962
29/01/10;0.000518283;0.000316873;0.000424206;0.000222088;0.000527823;0.000434553;0.000285635;0.001246467;0.000357111;0.000556006;0.002782482;0.000535192;0.000585981;0.000438970;0.001355224;0.000748161;0.000976394;0.000435236;0.000538761;0.001013766;0.000311902;0.000691780;0.000358667;0.000572314;0.002862725;0.000868346;0.000370628;0.003014291;0.000576627;0.000811660;0.000159388;0.000544220;0.000391029;0.000253152;0.001610147;0.001342908;0.000587516;0.000690584;0.000647487;0.000357581;0.000293521
01/02/10;0.000624884;0.000338768;0.000273100;0.000132630;0.000508305;0.000320619;0.000490271;0.000815846;0.000350461;0.000969041;0.001436726;0.000390423;0.000604099;0.000501074;0.000471030;0.001387671;0.000355571;0.000370865;0.000379759;0.001449863;0.000444226;0.000699260;0.000325280;0.000427194;0.002645830;0.001831605;0.000255009;0.000604675;0.000619482;0.000619754;0.000060125;0.000534529;0.000292779;0.000185002;0.001518772;0.001991729;0.000620143;0.000959628;0.000411622;0.000300663;0.000283879
02/02/10;0.000333629;0.000274101;0.000261407;0.000098005;0.000299079;0.000398058;0.000332164;0.000663975;0.000314458;0.000353169;0.001462249;0.000456501;0.000255125;0.000444603;0.000294467;0.001073088;0.000132564;0.000360711;0.000429630;0.000338385;0.000219379;0.000749659;0.000430661;0.000489257;0.002079614;0.001858815;0.000254489;0.000336971;0.000438923;0.000457960;0.000144739;0.000411853;0.000213387;0.000119239;0.000330348;0.000781261;0.000258027;0.000831732;0.000489249;0.000284136;0.000150884
