4.70,754,,
2.66,748,,
6.29,747,,
4.41,746,,
4.04,746,,
2.85,743,,
2.73,743,,
2.44,743,,
3.66,741,,
3.80,740,,
3.00,740,,
4.97,739,,
3.08,739,,
2.91,739,,
2.15,739,,
1.81,739,,
5.53,738,,
3.30,738,,
2.82,738,,
2.50,738,,
1.91,738,,
4.94,737,,
3.50,737,,
3.15,737,,
1.26,737,,
6.87,736,,
3.73,736,,
3.18,736,,
2.94,736,,
2.02,736,,
1.83,736,,
5.30,735,,
3.97,735,,
3.10,735,,
2.44,735,,
2.30,735,,
2.54,734,,
3.77,733,,
3.50,733,,
2.88,733,,
2.21,733,,
1.93,733,,
4.36,732,,
3.14,732,,
2.88,732,,
3.21,731,,
5.14,730,,
4.20,730,,
3.28,730,,
2.17,730,,
0.96,730,,
0.71,730,,
4.58,729,,
2.76,729,,
0.29,729,,
3.67,728,,
2.47,728,,
1.56,728,,
0.87,728,,
3.66,727,,
2.33,727,,
1.93,727,,
1.81,727,,
3.73,726,,
0.57,726,,
2.91,725,,
2.83,725,,
-1.04,725,,
-1.48,725,,
2.95,724,,
1.20,724,,
2.47,723,,
0.82,723,,
2.32,722,,
0.29,722,,
2.10,720,,
0.07,720,,
-0.55,720,,
1.41,719,,
0.46,719,,
0.46,719,,
-1.66,719,,
3.05,718,,
2.47,718,,
2.17,718,,
1.76,718,,
0.03,718,,
0.44,717,,
1.05,716,,
-2.29,714,,
2.63,712,,
-1.91,712,,
0.82,711,,
-0.27,708,,
4.16,706,,
2.04,705,,
-1.73,700,,
-2.22,699,,
2.25,697,,
1.38,697,,
