"","date","IML"
"144",2010-08-04,0.00200185226276517
"145",2010-08-05,0.00828436762094498
"146",2010-08-06,0.0043413988314569
"147",2010-08-09,0.00131809141021222
"148",2010-08-10,0.0045980061404407
"149",2010-08-11,0.00733381044119596
"150",2010-08-12,0.000869658309966326
"151",2010-08-13,0.0110964393243194
"152",2010-08-16,-0.00649315817281604
"153",2010-08-17,-0.00390961207449436
"154",2010-08-18,-0.00102895917370915
"155",2010-08-19,0.00417848629876971
"156",2010-08-20,0.00147530564572662
"157",2010-08-23,0.0092535987496376
"158",2010-08-24,-0.00125118345022202
"159",2010-08-25,-0.00127169257029891
"160",2010-08-26,0.0158772841095924
"161",2010-08-27,-0.00091121718287468
"162",2010-08-30,0.00535636767745018
"163",2010-08-31,-0.0116435820236802
"164",2010-09-01,-0.00730835646390915
"165",2010-09-02,0.00590565102174878
"166",2010-09-03,0.00534924771636724
"167",2010-09-06,0.00397480884566903
"168",2010-09-08,-0.00156568689271808
"169",2010-09-09,-0.00212703482247889
"170",2010-09-10,-0.00194694357924163
"171",2010-09-13,-0.0133486110717058
"172",2010-09-14,-0.0015840899432078
"173",2010-09-15,-0.0118670277297497
"174",2010-09-16,0.00688922358676791
"175",2010-09-17,0.0054249158129096
"176",2010-09-20,-0.00718268100172281
"177",2010-09-21,0.00394560908898711
"178",2010-09-22,-0.0103199724107981
"179",2010-09-23,-0.00344441970810294
"180",2010-09-24,0.00830997712910175
"181",2010-09-27,-0.00531034730374813
"182",2010-09-28,-0.00392159167677164
"183",2010-09-29,-0.000231893500313163
"184",2010-09-30,0.00120962085202336
"185",2010-10-01,0.00332335289567709
"186",2010-10-04,-0.00351777253672481
"187",2010-10-05,3.11192125082016e-05
"188",2010-10-06,0.0100363604724407
"189",2010-10-07,0.00376022420823574
"190",2010-10-08,0.000388888642191887
"191",2010-10-11,0.0109245851635933
"192",2010-10-13,0.00064440630376339
"193",2010-10-14,0.0054391510784626
"194",2010-10-15,-0.00163406762294471
"195",2010-10-18,0.00434100162237883
"196",2010-10-19,-0.000990891829133034
"197",2010-10-20,-0.000461473129689693
"198",2010-10-21,0.00799445807933807
"199",2010-10-22,0.00602360162883997
"200",2010-10-25,0.000484955497086048
"201",2010-10-26,-0.000810716301202774
"202",2010-10-27,0.00190410669893026
"203",2010-10-28,-0.00573192304000258
"204",2010-10-29,-0.00280845770612359
"205",2010-11-01,0.00378536153584719
"206",2010-11-03,-0.00125355273485184
"207",2010-11-04,-0.00374940410256386
"208",2010-11-05,0.00237606791779399
"209",2010-11-08,0.00318066240288317
"210",2010-11-09,0.00714060571044683
"211",2010-11-10,-0.0175480656325817
"212",2010-11-11,0.00089406012557447
"213",2010-11-12,-0.0051638949662447
"214",2010-11-16,-0.000802772119641304
"215",2010-11-17,0.00222857855260372
"216",2010-11-18,-0.000114905647933483
"217",2010-11-19,-0.000953989452682436
"218",2010-11-22,0.00498599093407393
"219",2010-11-23,0.00644939206540585
"220",2010-11-24,-0.00620101951062679
"221",2010-11-25,0.00405543996021152
"222",2010-11-26,0.00699466839432716
"223",2010-11-29,-8.04243609309196e-06
